"Path","Class","Included","Note"
".playwright-mcp/console-2026-04-24T14-36-09-671Z.log","excluded","no","session artifact (private design reference only)"
".playwright-mcp/page-2026-04-24T14-36-11-728Z.yml","excluded","no","session artifact (private design reference only)"
".playwright-mcp/page-2026-04-26T15-30-44-875Z.yml","excluded","no","session artifact (private design reference only)"
".playwright-mcp/page-2026-04-26T15-31-02-947Z.yml","excluded","no","session artifact (private design reference only)"
".playwright-mcp/page-2026-04-26T15-31-17-038Z.yml","excluded","no","session artifact (private design reference only)"
".playwright-mcp/page-2026-04-26T15-31-25-241Z.yml","excluded","no","session artifact (private design reference only)"
".playwright-mcp/page-2026-04-26T15-31-30-011Z.yml","excluded","no","session artifact (private design reference only)"
".playwright-mcp/page-2026-04-26T15-33-15-162Z.yml","excluded","no","session artifact (private design reference only)"
"agents.md","owner-doc","yes","new owner file"
"compare-before-click.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"docs/PROPRIETARY_REBUILD_PLAN.md","owner-doc","yes","new owner file"
"docs/opponent-prep-agent-guide.md","owner-doc","yes","new owner file"
"mistake-trainer-game-context.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"mistake-trainer-setup-popup.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"mistake-trainer-train-page.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/daily-goals/streak-fire.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/manifest.webmanifest","owner-web-asset-review","yes","new owner file; strip old product naming/branding before reuse"
"public/pieces/chesscom-neo.css","excluded","no","chess.com Neo piece set: third-party asset, DO NOT COPY"
"public/pieces/chesscom-neo/bb.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/pieces/chesscom-neo/bk.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/pieces/chesscom-neo/bn.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/pieces/chesscom-neo/bp.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
